movie,genre,synopsis,year,rate,duration,votes,popularity
21 Grams,Drama,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",2003,7.7,124,194344,2490.0
House of Sand and Fog,Drama,An abandoned wife is evicted from her house and starts a tragic conflict with her home's new owners.,2003,7.6,126,57629,
Peter Pan,Adventure|Family|Fantasy,"The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.",2003,6.9,113,55577,1514.0
Spider-Man 2,Action|Adventure,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,2004,7.3,127,427065,1122.0
Bridget Jones: The Edge of Reason,Comedy|Drama|Romance,"After finding love, Bridget Jones questions if she really has everything she's dreamed of having.",2004,5.9,108,80876,1886.0
Cars,Animation|Adventure|Comedy,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",2006,7.2,117,275340,622.0
City of God,Crime|Drama,"Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.",2002,8.7,130,556231,489.0
Daddy Day Care,Comedy|Family,Two men get laid off and have to become stay-at-home dads when they can't find jobs. This inspires them to open their own day-care center.,2003,5.5,92,51019,2298.0
The Incredibles,Animation|Action|Adventure,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",2004,8.0,115,496362,228.0
The Italian Job,Action|Crime|Thriller,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",2003,7.0,111,293086,985.0
Mission: Impossible III,Action|Adventure|Thriller,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .,2006,6.9,126,265019,1463.0
The Cooler,Crime|Drama|Fantasy,"In an old school Las Vegas casino, its top gambling jinx breaks his curse when he falls in love, much to his boss' consternation.",2003,7.0,101,29123,
The Motorcycle Diaries,Adventure|Biography|Drama,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,2004,7.8,126,85134,4223.0
Resident Evil: Apocalypse,Action|Horror|Sci-Fi,"Alice awakes in Raccoon City, only to find it has become infested with zombies and monsters. With the help of Jill Valentine and Carlos Olivera, Alice must find a way out of the city before it is destroyed by a nuclear missile.",2004,6.2,94,156010,637.0
Big Fish,Adventure|Drama|Fantasy,A frustrated son tries to determine the fact from fiction in his dying father's life.,2003,8.0,125,358748,956.0
The Day After Tomorrow,Action|Adventure|Sci-Fi,"Jack Hall, paleoclimatologist, must make a daring trek across America to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",2004,6.4,124,343004,863.0
Elf,Comedy|Family|Fantasy,"After inadvertently wreaking havoc on the elf community due to his ungainly size, a man raised as an elf at the North Pole is sent to the U.S. in search of his true identity.",2003,6.9,97,157147,2086.0
Kingdom of Heaven,Action|Adventure|Drama,"Balian of Ibelin travels to Jerusalem during the crusades of the 12th century, and there he finds himself as the defender of the city and its people.",2005,7.2,144,223936,816.0
Underworld,Action|Fantasy|Thriller,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",2003,7.0,121,215559,362.0
2 Fast 2 Furious,Action|Crime|Thriller,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,2003,5.9,107,198288,1662.0
Freaky Friday,Comedy|Family|Fantasy,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",2003,6.1,97,100338,2226.0
Twin Sisters,Drama|Romance|War,Twin Sisters is an epic love story based on the Dutch bestseller by Tessa de Loo that has been read by more than 3.5 million readers in Holland and Germany.,2002,7.5,137,5735,
The Texas Chainsaw Massacre,Horror,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding killer and his family of equally psychopathic killers.",2003,6.2,98,111252,2191.0
The Last Samurai,Action|Drama|Historyy,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,2003,7.7,154,326503,1421.0
Pirates of the Caribbean: The Curse of the Black Pearl,Action|Adventure|Fantasy,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",2003,8.0,143,839783,407.0
Mystic River,Crime|Drama|Mystery,"With a childhood tragedy that overshadowed their lives, three men are reunited by circumstance when one has a family tragedy.",2003,8.0,138,347851,827.0
Around the World in 80 Days,Action|Adventure|Comedy,"To win a bet, an eccentric British inventor beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly 80 days.",2004,5.8,120,70903,1757.0
Coraline,Animation|Family|Fantasy,"An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",2009,7.7,100,151828,1070.0
Man on Fire,Action|Crime|Drama,"In Mexico City, a former assassin swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",2004,7.7,146,274306,616.0
Thirteen,Drama,"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.",2003,6.8,100,69939,1006.0
Under the Tuscan Sun,Comedy|Drama|Romance,A writer impulsively buys a villa in Tuscany in order to change her life.,2003,6.8,113,37099,1948.0
Brother Bear,Animation|Adventure|Comedy,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.",2003,6.8,85,73916,4372.0
Freddy vs. Jason,Action|Horror|Thriller,"Freddy Krueger and Jason Voorhees return to terrorize the teenage population. Except this time, they're out to get each other, too.",2003,5.8,97,91648,900.0
Seabiscuit,Drama|Historyy|Sport,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,2003,7.3,150,58634,4761.0
xXx: State of the Union,Action|Adventure|Crime,"Darius Stone, a new agent in the XXX program, is sent to Washington, DC to defuse a power struggle amongst national leaders.",2005,4.3,101,53430,191.0
Harry Potter and the Goblet of Fire,Adventure|Family|Fantasy,Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.,2005,7.7,157,405392,291.0
The Punisher,Action|Crime|Drama,An undercover FBI agent becomes a vigilante assassin and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,2004,6.5,124,127284,843.0
The Notebook,Drama|Romance,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",2004,7.9,123,410677,231.0
School of Rock,Comedy|Family|Music,"After being kicked out of a rock band, Dewey Finn becomes a substitute teacher of a strict elementary private school, only to try and turn it into a rock band.",2003,7.1,108,216617,1005.0
Troy,Adventure,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",2004,7.2,163,395204,333.0
Girl with a Pearl Earring,Biography|Drama|Romance,A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.,2003,7.0,100,61969,3457.0
Lost in Translation,Drama,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,2003,7.8,101,330944,1058.0
The Passion of the Christ,Drama,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",2004,7.1,127,183079,986.0
Something's Gotta Give,Comedy|Drama|Romance,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,2003,6.7,128,93684,2451.0
Live Free or Die Hard,Action|Adventure|Thriller,John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,2007,7.2,128,342686,1529.0
Eternal Sunshine of the Spotless Mind,Drama|Fantasy|Romance,"When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.",2004,8.3,108,696228,395.0
The Barbarian Invasions,Comedy|Crime|Drama,"During his final days, a dying man is reunited with old friends, former lovers, his ex-wife, and his estranged son.",2003,7.7,99,25362,
Evil,Drama,"Erik is expelled from school for fighting. He ends up at a private boarding school where the senior students control the young ones. Erik finds a friend in Pierre, his room mate. The story ... See full summary И",2003,7.8,113,30983,
Paycheck,Action|Mystery|Sci-Fi,"What seemed like a breezy idea for an engineer to net him millions of dollars, leaves him on the run for his life and piecing together why he's being chased.",2003,6.3,119,91464,2203.0
The Polar Express,Animation|Adventure|Family,"A young boy embarks on a magical adventure to the North Pole on the Polar Express. During his adventure he learns about friendship, bravery, and the spirit of Christmas.",2004,6.6,100,129570,3126.0
Van Helsing,Action|Adventure,The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankenstein's research and a werewolf for some sinister purpose.,2004,6.0,131,202387,1261.0
The Aviator,Biography|Drama,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid-1940s.,2004,7.5,170,272977,664.0
A Series of Unfortunate Events,Adventure|Comedy|Family,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",2004,6.8,108,164113,5.0
Being Julia,Comedy|Drama|Romance,"Set in '30s London, the film involves stage actors and their experiences with love and revenge.",2004,7.1,104,10852,4015.0
Monster,Biography|Crime|Drama,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",2003,7.3,109,108623,638.0
50 First Dates,Comedy|Romance,"Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the very next day.",2004,6.8,99,273503,1306.0
The Good Shepherd,Drama|Historyy|Thriller,The tumultuous early history of the Central Intelligence Agency is viewed through the prism of one man's life.,2006,6.7,167,88382,2015.0
"I, Robot",Action|Mystery|Sci-Fi,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",2004,7.1,115,402365,1824.0
A Very Long Engagement,Drama|Mystery|Romance,"Tells the story of a young woman's relentless search for her fiancЋ, who has disappeared from the trenches of the Somme during World War One.",2004,7.7,133,63994,4003.0
Alexander,Action|Adventure|Biography,"Alexander, the King of Macedonia and one of the greatest military leaders in the history of warfare, conquers much of the known world.",2004,5.5,175,141884,1620.0
Howl's Moving Castle,Animation|Adventure|Family,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",2004,8.2,119,227522,1044.0
Superman Returns,Action|Adventure|Sci-Fi,"Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",2006,6.1,154,244354,806.0
Waiting...,Comedy,Young employees at Shenaniganz restaurant collectively stave off boredom and adulthood with their antics.,2005,6.8,94,77646,1801.0
Cheaper by the Dozen,Comedy|Family,"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.",2003,5.8,98,77474,2238.0
King Arthur,Action|Adventure|Drama,A demystified take on the tale of King Arthur and the Knights of the Round Table.,2004,6.3,126,139827,852.0
Ocean's Twelve,Crime|Thriller,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's 11.,2004,6.5,125,293417,498.0
Ray,Biography|Drama|Music,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",2004,7.7,152,113740,3084.0
Madagascar,Animation|Adventure|Comedy,"Spoiled by their upbringing and unaware of what wildlife really is, four animals from the New York Central Zoo escape, unwittingly assisted by four absconding penguins, and find themselves in Madagascar.",2005,6.9,86,278169,1595.0
The Twilight Samurai,Drama|Historyy,A 19th-century samurai tries to protect a battered wife.,2002,8.1,129,18588,
Walking Tall,Action|Crime,"A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",2004,6.2,86,54749,1910.0
Cinderella Man,Biography|Drama|Sport,"The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",2005,8.0,144,152076,1967.0
The Brothers Grimm,Action|Adventure|Comedy,Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.,2005,5.9,118,100722,2273.0
EuroTrip,Comedy,"Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.",2004,6.6,93,165885,795.0
A Cinderella Story,Comedy|Family|Romance,"Routinely exploited by her wicked stepmother, the downtrodden Sam Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",2004,5.9,95,65358,927.0
The Family Stone,Comedy|Drama|Romance,"An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",2005,6.3,103,50844,1889.0
Mr. & Mrs. Smith,Action|Comedy|Crime,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,2005,6.5,120,361385,1582.0
Anchorman: The Legend of Ron Burgundy,Comedy,"Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.",2004,7.2,94,275291,1695.0
Robots,Animation|Adventure|Comedy,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.",2005,6.3,91,106559,2008.0
Walk the Line,Biography|Drama|Music,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",2005,7.9,136,192695,694.0
The Secret Life of Walter Mitty,Adventure|Comedy|Drama,"When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",2013,7.3,114,244276,1011.0
Constantine,Drama|Fantasy|Horror,"Supernatural detective John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",2005,6.9,121,242257,1697.0
King Kong,Action|Adventure|Drama,"After a movie crew travel to a mysterious island to shoot their picture, they encounter a giant and furious gorilla who takes their leading actress and form a special relationship with her, protecting the beautiful lady at all costs.",2005,7.2,187,323522,940.0
Inglourious Basterds,Adventure|Drama|War,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009,8.3,153,928117,200.0
The Terminal,Comedy|Drama|Romance,"An eastern immigrant finds himself stranded in JFK airport, and must take up temporary residence there.",2004,7.3,128,315946,1570.0
Kinsey,Biography|Drama|Romance,"A look at the life of Alfred Kinsey, a pioneer in the area of human sexuality research, whose 1948 publication ""Sexual Behavior in the Human Male"" was one of the first recorded works that saw science address sexual behavior.",2004,7.1,118,43265,4848.0
The Life Aquatic with Steve Zissou,Adventure|Comedy|Drama,"With a plan to exact revenge on a mythical shark that killed his partner, oceanographer Steve Zissou rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.",2004,7.3,119,144255,1446.0
Downfall,Biography|Drama|Historyy,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",2004,8.3,156,259483,877.0
Dawn of the Dead,Action|Horror|Thriller,"A nurse, a policeman, a young married couple, a salesman, and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",2004,7.4,101,199440,1575.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,2005,6.9,143,297403,618.0
Taking Lives,Crime|Mystery|Thriller,An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,2004,6.2,103,66966,1610.0
Dodgeball: A True Underdog Story,Comedy|Sport,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,2004,6.7,92,190410,1297.0
Syriana,Drama|Thriller,A politically charged epic about the state of the oil industry in the hands of those personally involved and affected by it.,2005,7.0,128,112008,2877.0
Happy Feet,Animation|Comedy|Family,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",2006,6.5,108,138325,2544.0
Harold & Kumar Go to White Castle,Adventure|Comedy,An Asian-American office worker and his Indian stoner friend embark on a quest to satisfy their desire for White Castle burgers.,2004,7.1,88,158629,1983.0
The Squid and the Whale,Comedy|Drama,Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.,2005,7.4,81,61824,
Charlie and the Chocolate Factory,Adventure|Comedy|Family,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",2005,6.7,115,333750,607.0
Indiana Jones and the Kingdom of the Crystal Skull,Action|Adventure|Fantasy,"Famed archaeologist/adventurer Dr. Henry ""Indiana"" Jones is called back into action when he becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",2008,6.2,122,344036,660.0
The Room,Drama,"Johnny is a successful banker who lives happily in a San Francisco townhouse with his fiancée, Lisa. One day, inexplicably, she gets bored of him and decides to seduce Johnny's best friend, Mark. From there, nothing will be the same again.",2003,3.5,99,32502,990.0
The Village,Drama|Mystery|Thriller,A series of events tests the beliefs of a small isolated countryside village.,2004,6.5,108,198455,442.0
I'm Not There.,Biography|Drama|Music,"Ruminations on the life of Bob Dylan, where six characters embody a different aspect of the musician's life and work.",2007,7.0,135,49428,3364.0
National Treasure,Action|Adventure|Family,A historian races to find the legendary Templar Treasure before a team of mercenaries.,2004,6.9,131,260609,1564.0
Collateral,Crime|Drama|Thriller,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,2004,7.6,120,301264,1356.0
Jurassic World,Action|Adventure|Sci-Fi,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",2015,7.0,124,439876,237.0
The Sea Inside,Biography|Drama|Romance,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",2004,8.1,125,66451,3978.0
AVP: Alien vs. Predator,Action|Horror|Sci-Fi,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",2004,5.6,101,147853,1578.0
Spanglish,Comedy|Drama|Romance,"A woman and her daughter emigrate from Mexico for a better life in America, where they start working for a family where the patriarch is a newly celebrated chef with an insecure wife.",2004,6.4,131,67001,1048.0
The Hitchhiker's Guide to the Galaxy,Adventure|Comedy|Sci-Fi,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",2005,6.8,109,159825,836.0
Iron Man,Action|Adventure|Sci-Fi,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",2008,7.9,126,720219,478.0
The Bourne Supremacy,Action|Mystery|Thriller,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",2004,7.8,108,364203,1505.0
The Wedding Date,Comedy|Romance,"Single-girl anxiety causes Kat Ellis (Messing) to hire a male escort (Mulroney) to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing.",2005,6.1,90,39623,2251.0
Batman Begins,Action|Adventure,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.",2005,8.3,140,1021111,323.0
The Chorus,Drama|Music,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,2004,7.9,97,45823,
Kiss Kiss Bang Bang,Comedy|Crime|Mystery,"A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.",2005,7.6,103,181413,2092.0
Harry Potter and the Order of the Phoenix,Adventure|Family|Fantasy,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",2007,7.5,138,373912,488.0
Napoleon Dynamite,Comedy,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",2004,6.9,96,165403,1334.0
Sideways,Comedy|Drama|Romance,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",2004,7.5,126,153557,2536.0
Crash,Crime|Drama|Thriller,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",2004,7.8,112,368775,526.0
Closer,Drama|Romance,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,2004,7.3,104,171899,1088.0
X-Men: The Last Stand,Action|Adventure|Fantasy,"When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier, and the Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",2006,6.7,104,395539,1420.0
Mean Girls,Comedy,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",2004,7.0,97,255717,394.0
The Ring Two,Horror|Mystery|Sci-Fi,"Six months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness.",2005,5.4,110,73699,1868.0
Kill Bill: Vol. 2,Action|Crime|Drama,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd and the treacherous, one-eyed Elle.",2004,8.0,137,530176,1349.0
Capote,Biography|Crime|Drama,"In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row.",2005,7.4,114,103895,2929.0
Serenity,Action|Adventure|Sci-Fi,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,2005,8.0,119,248181,1024.0
The Lovely Bones,Drama|Fantasy|Thriller,Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.,2009,6.7,135,128300,1155.0
Casino Royale,Action|Adventure|Thriller,"Armed with a licence to kill, Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale, but things are not what they seem.",2006,8.0,144,485719,609.0
Before Sunset,Drama|Romance,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2004,8.0,80,175268,2426.0
White Chicks,Comedy|Crime,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson Sisters from a kidnapping plot.,2004,5.5,109,102225,709.0
3:10 to Yuma,Adventure|Crime|Drama,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,2007,7.7,122,243878,1467.0
As It Is in Heaven,Comedy|Drama|Music,"A successful international conductor suddenly interrupts his career and returns alone to his childhood village in Norrland, in the far north of Sweden. It doesn't take long before he is ... See full summary И",2004,7.6,133,13900,
The Da Vinci Code,Mystery|Thriller,A murder inside the Louvre and clues in Da Vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years -- which could shake the foundations of Christianity.,2006,6.6,149,329979,929.0
Ratatouille,Animation|Comedy|Family,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,2007,8.0,111,491643,921.0
Pirates of the Caribbean: Dead Man's Chest,Action|Adventure|Fantasy,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",2006,7.3,151,539213,814.0
Vera Drake,Crime|Drama,Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain--a conflict that leads to tragedy for her family.,2004,7.7,125,20719,
Accepted,Comedy,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.",2006,6.5,93,107920,1771.0
The Amityville Horror,Drama|Horror|Mystery,Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.,2005,6.0,90,83807,2118.0
Green Street Hooligans,Crime|Drama|Sport,"A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.",2005,7.5,109,121088,2054.0
House of Flying Daggers,Action|Adventure|Drama,"A romantic police captain breaks a beautiful member of a rebel group out of prison to help her rejoin her fellows, but things are not what they seem.",2004,7.6,119,94503,3837.0
The Golden Compass,Adventure|Family|Fantasy,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",2007,6.1,113,152755,1608.0
Monster House,Animation|Comedy|Family,"Three teens discover that their neighbor's house is really a living, breathing, scary monster.",2006,6.6,91,75188,3336.0
Hitch,Comedy|Romance,"While helping his latest client woo the fine lady of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten.",2005,6.6,118,251257,2111.0
The Constant Gardener,Drama|Mystery|Romance,"A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.",2005,7.5,129,114432,3412.0
Saw,Horror|Mystery|Thriller,"Two strangers awaken in a room with no recollection of how they got there or why, and soon discover they are pawns in a deadly game perpetrated by a notorious serial killer.",2004,7.7,103,309265,995.0
Idiocracy,Adventure|Comedy|Sci-Fi,"Private Joe Bauers, the definition of ""average American"", is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten, he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive.",2006,6.6,84,112655,519.0
The Black Dahlia,Crime|Drama|Mystery,"Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia"" murder investigation.",2006,5.6,121,64465,2858.0
Brokeback Mountain,Drama|Romance,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",2005,7.7,134,266587,738.0
Bee Movie,Animation|Adventure|Comedy,"Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them.",2007,6.2,91,110122,668.0
Click,Comedy|Drama|Fantasy,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,2006,6.4,107,253570,1735.0
Maria Full of Grace,Crime|Drama,A pregnant Colombian teenager becomes a drug mule to make some desperately needed money for her family.,2004,7.5,101,30997,
Hotel Rwanda,Biography|Drama|Historyy,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,2004,8.1,121,275466,2655.0
The Devil's Rejects,Crime|Horror,"The murderous, backwoods Firefly family take to the road to escape a vengeful police force which is not afraid of being as ruthless as their target.",2005,6.9,107,78555,1641.0
The Pacifier,Action|Comedy|Drama,Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house.,2005,5.5,95,69151,1545.0
North Country,Drama,"A fictionalized account of the first major successful sexual harassment case in the United States -- Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.",2005,7.3,126,33671,4328.0
Perfume: The Story of a Murderer,Crime|Drama|Fantasy,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",2006,7.5,147,195889,1527.0
Wedding Crashers,Comedy|Romance,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",2005,7.0,119,286038,758.0
House of Wax,Horror,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,2005,5.3,108,96828,1712.0
