movie,genre,synopsis,year,rate,duration,votes,popularity
Romeo Must Die,Action|Crime|Thriller,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,2000,6.1,115,58111,2339.0
Spirit: Stallion of the Cimarron,Animation|Adventure|Family,"A wild stallion is captured by humans and slowly loses the will to resist training. Yet throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",2002,7.1,83,46943,3222.0
Mulholland Drive,Drama|Mystery|Thriller,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",2001,8.0,147,247207,564.0
Hellboy,Action|Fantasy|Horror,"A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",2004,6.8,122,250754,1092.0
The Lord of the Rings: The Return of the King,Adventure|Drama|Fantasy,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003,8.9,201,1264277,327.0
The Lord of the Rings: The Two Towers,Adventure|Drama|Fantasy,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,8.7,179,1145458,590.0
Dancer in the Dark,Crime|Drama|Musical,"An east European girl goes to America with her young son, expecting it to be like a Hollywood film.",2000,8.0,140,82205,3270.0
Lagaan: Once Upon a Time in India,Adventure|Drama|Musical,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,2001,8.2,224,77479,3473.0
How the Grinch Stole Christmas,Comedy|Family|Fantasy,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town.",2000,6.0,104,150313,1593.0
Bad Boys II,Action|Comedy|Crime,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida.,2003,6.6,147,183145,1569.0
Gladiator,Action|Adventure|Drama,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",2000,8.5,155,1024040,365.0
Scary Movie,Comedy,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",2000,6.2,88,192128,1213.0
The Perfect Storm,Action|Adventure|Drama,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,2000,6.4,130,135888,3304.0
Quills,Biography|Drama,"In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor.",2000,7.4,124,45631,3271.0
Requiem for a Dream,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000,8.4,102,596759,245.0
Minority Report,Action|Mystery|Sci-Fi,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",2002,7.7,145,413070,874.0
